Country,Life expectancy,male,female,Cigarette consumption,Continent ,,
Afghanistan,64.956,63.498,66.522,311.6025362,Asia,,
Albania,78.612,77.03,80.252,2491.599232,Europe,,
Algeria,76.954,75.754,78.208,1046.66874,Africa,,
Angola,61.212,58.482,64.1,340.1873485,Africa,,
Antigua and Barbuda,77.08,75.906,78.178,89.21741037,North America,,
Argentina,76.738,73.328,80.048,1176.133082,South America ,,
Armenia,75.142,71.4,78.54,1985.667796,Europe,,
Australia,83.496,81.558,85.452,916.9821846,Oceania,,
Austria,81.63,79.286,83.926,1926.951764,Europe,,
Azerbaijan,73.018,70.49,75.504,1525.566906,Europe,,
Bahamas,73.95,71.668,76.132,438.631766,North America,,
Bahrain,77.352,76.498,78.484,1101.49735,Asia,,
Bangladesh,72.718,71.008,74.706,744.0841957,Asia,,
Barbados,79.268,77.904,80.55,277.518512,North America,,
Belarus,74.774,69.64,79.564,2911.297899,Europe,,
Belgium,81.702,79.412,83.938,2440.880001,Europe,,
Belize,74.658,71.708,77.848,168.6157945,North America,,
Benin,61.916,60.342,63.478,204.0189473,Africa,,
Bolivia,71.588,68.768,74.57,291.5955317,Europe,,
Bosnia and Herzegovina,77.48,74.982,79.918,1767.158389,Europe,,
Botswana,69.398,66.306,72.192,433.4769996,Africa,,
Brazil,75.964,72.344,79.618,333.4978072,South America,,
Brunei,75.932,74.792,77.184,9.676124393,Asia,,
Bulgaria,75.106,71.624,78.712,1757.252777,Europe,,
Burkina Faso,61.744,60.89,62.472,408.1420577,Africa,,
Burundi,61.696,59.872,63.504,239.4465997,Africa,,
Cambodia,69.88,67.582,71.976,726.1504604,Asia,,
Cameroon,59.39,58.114,60.676,171.0277848,Africa,,
Canada,82.516,80.556,84.446,1021.321245,North America,,
Cape Verde,73.052,69.598,76.284,397.1290283,Africa,,
Central African Rep.,53.346,51.164,55.554,213.1523183,Africa,,
Chad,54.348,52.938,55.786,279.3296457,Africa,,
Chile,80.272,77.88,82.512,769.3434908,South America,,
China,76.96,74.826,79.274,2043.006553,Asia,,
Colombia,77.36,74.61,80.084,351.3682745,South America,,
Comoros,64.4,62.658,66.208,585.3976911,Africa,,
Congo,60.766,59.224,62.328,195.2494156,Africa,,
Costa Rica,80.376,77.87,82.952,411.3744722,North America,,
Côte d'Ivoire,57.844,56.642,59.194,352.6663858,Africa,,
Croatia,78.558,75.386,81.642,1578.881422,Europe,,
Cuba,78.886,76.932,80.85,233.5232564,North America,,
Cyprus,81.054,79.01,83.084,1961.3523,Europe,,
Czech Republic,79.43,76.82,81.996,2427.882737,Europe,,
Dem. Rep. Congo,64.58,63.088,66.034,128.0239064,Africa,,
Denmark,80.968,79.03,82.916,1298.03935,Europe,,
Djibouti,67.072,65.084,69.308,785.5204623,Africa,,
Dominican Rep.,74.146,71.064,77.432,218.9153365,North America,,
Ecuador,77.104,74.39,79.916,93.4932465,South America,,
Egypt,72.06,69.804,74.428,1449.410418,Africa,,
El Salvador,73.418,68.574,77.916,206.7029706,North America,,
Equatorial Guinea,58.878,57.866,60.078,328.2451553,Africa,,
Eritrea,66.436,64.264,68.676,132.3249214,Africa,,
Estonia,78.748,74.38,82.718,1759.909158,Europe,,
Eswatini,60.006,55.894,64.596,115.2859353,Africa,,
Ethiopia,66.706,64.798,68.648,115.2859353,Africa,,
Fiji,67.526,65.76,69.436,491.0545578,Oceania,,
Finland,81.976,79.178,84.768,1098.804093,Europe,,
France,82.728,79.792,85.544,1089.868333,Europe,,
Gabon,66.448,64.378,68.634,451.2428865,Africa,,
Gambia,62.228,60.822,63.662,249.0509316,Africa,,
Georgia,73.808,69.394,78.168,1917.724954,Europe,,
Germany,81.412,79.05,83.786,1599.516213,Europe,,
Ghana,64.166,63.072,65.284,40.54004284,Africa,,
Greece,82.308,79.896,84.72,2078.553484,Europe,,
Grenada,72.47,70.138,75.034,158.1957684,North America,,
Guadeloupe,82.2,78.542,85.52,111.7740887,North America,,
Guatemala,74.384,71.456,77.236,111.7740887,North America,,
Guinea,61.68,60.914,62.218,316.0389976,Africa,,
Guinea-Bissau,58.444,56.404,60.358,25.27625157,Africa,,
Guyana,69.93,66.932,73.146,359.1370926,South America,,
Haiti,64.108,61.93,66.292,143.0327513,North America,,
Honduras,75.342,73.036,77.624,469.8045412,North America,,
Hungary,76.902,73.288,80.312,2060.339486,Europe,,
Iceland,83.07,81.598,84.546,848.1098619,Europe,,
India,69.73,68.53,71.038,89.28878531,Asia,,
Indonesia,71.774,69.622,74.034,1675.488159,Asia,,
Iran,76.742,75.644,77.952,936.5437313,Asia,,
Iraq,70.654,68.582,72.736,1184.439191,Asia,,
Ireland,82.354,80.726,83.948,976.4989214,Europe,,
Israel,83.04,81.416,84.556,1280.73134,Asia,,
Italy,83.568,81.384,85.598,1493.270362,Europe,,
Jamaica,74.55,72.93,76.204,312.4730399,North America,,
Japan,84.67,81.532,87.718,1583.164556,Asia,,
Jordan,74.602,72.908,76.382,2306.093102,Asia,,
Kazakhstan,73.488,69.112,77.598,1800.876735,Asia,,
Kenya,66.696,64.308,69.048,264.375495,Africa,,
Kiribati,68.462,64.34,72.43,1396.041572,Oceania,,
Kuwait,75.538,74.802,76.652,1412.679615,Asia,,
Kyrgyzstan,71.488,67.466,75.628,519.5940996,Asia,,
Laos,68.02,66.224,69.86,814.6390364,Asia,,
Latvia,75.322,70.288,80.034,1189.085205,Europe,,
Lebanon,79,77.224,80.93,2037.535036,Asia,,
Lesotho,54.366,51.248,57.61,447.9989357,Africa,,
Liberia,64.16,62.748,65.574,154.4306016,Africa,,
Libya,72.996,70.184,76.028,327.1629079,Africa,,
Lithuania,75.954,70.358,81.364,1292.016671,Europe,,
Luxembourg,82.312,80.236,84.394,6330.872751,Europe,,
Madagascar,67.178,65.546,68.828,404.181994,Africa,,
Malawi,64.306,61.154,67.45,241.0807393,Africa,,
Malaysia,76.218,74.29,78.372,441.1622869,Asia,,
Maldives,79.038,77.654,80.848,560.857721,Asia,,
Mali,59.442,58.652,60.232,316.9299731,Africa,,
